Title,Code,Genre,Nation,Director,Actor,Movie Code
송가인 더 드라마,202381,['공연실황'],['한국'],"['이태슬', '김성윤']",['송가인'],
쿨 러닝,16218,"['드라마', '코미디']",['미국'],['존 터틀타웁'],"['리온', '더그 E. 더그', '롤 D. 루이스']",
투게더,36718,['드라마'],"['중국', '한국']",['천카이거'],['류 페이치'],
친정엄마,71932,['드라마'],['한국'],['유성엽'],"['김해숙', '박진희']",
땐뽀걸즈,167107,['다큐멘터리'],['한국'],['이승문'],"['이규호', '김현빈', '박혜영']",
"광해, 왕이 된 남자",83893,['드라마'],['한국'],['추창민'],"['이병헌', '류승룡', '한효주']",
아저씨,71509,"['액션', '범죄', '드라마']",['한국'],['이정범'],"['원빈', '김새론']",
하이 스쿨 뮤지컬: 졸업반,45774,"['뮤지컬', '코미디', '드라마', '가족', '멜로/로맨스']",['미국'],['케니 오테가'],"['잭 에프론', '바네사 허진스', '애슐리 티스데일']",
인크레더블,36798,"['애니메이션', '가족', '모험', '액션', '코미디']",['미국'],['브래드 버드'],"['크레이그 T. 넬슨', '홀리 헌터']",
해바라기,44529,"['액션', '드라마']",['한국'],['강석범'],"['김래원', '김해숙', '허이재']",
미녀와 야수,13172,"['애니메이션', '가족', '드라마', '판타지', '멜로/로맨스', '뮤지컬']",['미국'],"['게리 트러스데일', '커크 와이즈']","['페이지 오하라', '로비 벤슨']",
바람과 함께 사라지다,10020,"['드라마', '전쟁', '멜로/로맨스']",['미국'],['빅터 플레밍'],"['클라크 게이블', '비비안 리', '레슬리 하워드']",
크루엘라,187322,"['드라마', '범죄', '코미디']",['미국'],['크레이그 질레스피'],['엠마 스톤'],
그랜 토리노,51462,"['범죄', '드라마']",['미국'],['클린트 이스트우드'],"['클린트 이스트우드', '크리스토퍼 칼리', '비 방']",
프린스 앤 프린세스,31170,"['애니메이션', '코미디', '가족']",['프랑스'],['미셸 오슬로'],['이베스 바사크'],
사랑은 비를 타고,10105,"['뮤지컬', '멜로/로맨스', '코미디']",['미국'],"['진 켈리', '스탠리 도넌']","['진 켈리', '도널드 오코너', '데비 레이놀즈']",
동급생,148338,['애니메이션'],['일본'],['나카무라 쇼코'],"['노지마 켄지', '카미야 히로시', '이시카와 히데오']",
마이너리티 리포트,31788,"['SF', '드라마', '미스터리', '범죄', '액션']",['미국'],['스티븐 스필버그'],['톰 크루즈'],
석양의 무법자,13967,"['서부', '액션', '드라마', '모험']","['이탈리아', '스페인', '독일(구 서독)']",['세르지오 레오네'],['클린트 이스트우드'],
뷰티풀 마인드,34010,['드라마'],['미국'],['론 하워드'],"['러셀 크로우', '에드 해리스', '제니퍼 코넬리']",
리멤버 타이탄,30897,"['가족', '드라마']",['미국'],['보아즈 야킨'],['덴젤 워싱톤'],
"님아, 그 강을 건너지 마오",130013,['다큐멘터리'],['한국'],['진모영'],"['조병만', '강계열']",
인셉션,52515,"['액션', '모험', 'SF', '스릴러']","['미국', '영국']",['크리스토퍼 놀란'],"['레오나르도 디카프리오', '와타나베 켄', '조셉 고든 레빗']",
아름다운 비행,17903,"['가족', '모험', '드라마']",['미국'],['캐롤 발라드'],"['제프 다니엘스', '안나 파킨']",
극장판 헬로카봇 : 백악기 시대,175727,['애니메이션'],['한국'],"['최신규', '김진철']","['이지현', '김용준', '양정화']",
시스터 액트,12393,"['코미디', '범죄', '뮤지컬', '액션']",['미국'],['에밀 아돌리노'],['우피 골드버그'],
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,195687,"['애니메이션', '액션', '판타지']",['일본'],['스도 토모노리'],"['스기야마 노리아키', '시타야 노리코']",
타인의 삶,63403,['드라마'],['독일'],['플로리안 헨켈 폰 도너스마르크'],"['울리히 뮤흐', '마르티나 게덱', '세바스티안 코치']",
위대한 독재자,10341,['코미디'],['미국'],['찰리 채플린'],"['찰리 채플린', '파울레트 고다드']",
